Formel: Speedup S(p)?	S(p) = T_seq / T_par(p) — T_seq = schnellstes sequenzielles Programm
Formel: Effizienz E(p)?	E(p) = S(p)/p = T_seq/(p·T_par(p)), 0 < E ≤ 1
Formel: Totaler paralleler Overhead O(p)?	O(p) = p·T_par(p) − T_seq
Formel: Amdahls Gesetz?	S_max(p) = 1/(f + (1−f)/p); für p→∞: S ≤ 1/f (f = sequenzieller Anteil, Problemgröße fest)
Formel: Gustafson (skalierter Speedup)?	S_scaled(p) = p − f·(p−1) — Problem wächst mit p, f bleibt konstant
Formel: Parallelitätsgrad?	P = T_seq/T_∞ (T_∞ = längster Pfad im Abhängigkeitsgraphen) = max. Speedup bei beliebig vielen Prozessoren
Strong vs. Weak Scaling?	Strong: Problemgröße fest, p steigt (Amdahl). Weak: Problemgröße wächst proportional zu p (Gustafson), Ziel T(p) ≈ T(1)
Was ist ein Data Race?	Unsynchronisierter gleichzeitiger Zugriff mehrerer Threads auf dieselbe Speicherstelle, mind. ein Schreibzugriff — Ergebnis unspezifiziert
Was ist eine Race Condition?	Das Ergebnis hängt von der Ausführungsreihenfolge der Operationen ab
Was ist ein Deadlock?	Prozesse warten zirkulär auf Ergebnisse/Ressourcen, die nur innerhalb der Gruppe geliefert werden könnten — kein Fortschritt
Was ist False Sharing?	Mehrere Prozessoren schreiben verschiedene Daten in derselben Cache-Line (64 B) → Invalidierungs-Ping-Pong, unnötiger Kohärenzverkehr. Fix: Padding oder private Kopien
Was ist Load Imbalance?	Ungleiche Arbeitsverteilung — Threads/Prozesse warten an Barrieren auf den langsamsten. Fix: anderes Schedule / dynamische Verteilung
Superlinearer Speedup — 2 Ursachen?	1) Cache-Effekte (aggregierter Cache wächst mit p), 2) veränderter Berechnungspfad bei Suchalgorithmen
Datenabhängigkeiten — 3 Typen?	True (Write→Read), Anti (Read→Write), Output (Write→Write)
Shared vs. Distributed Memory?	Shared: gemeinsamer Adressraum, implizite Kommunikation, explizite Synchronisation (OpenMP). Distributed: lokale Speicher, explizite Kommunikation per Message Passing (MPI)
SMP vs. NUMA?	SMP: gleiche Speicherzugriffszeit für alle. NUMA: lokal schnell, entfernt langsam — Datenplatzierung relevant
Flynns Klassifikation?	SISD (von Neumann), SIMD (GPU/Vektor), MISD (irrelevant), MIMD (heutige Parallelrechner: Multiprozessoren + Multicomputer)
Prozess vs. Thread?	Prozess: eigener Adressraum. Thread: eigener Stack + Register, teilt Heap und globale Daten; kleinste schedulbare Einheit
SPMD?	Single Program Multiple Data — ein Programm auf allen Prozessen, Differenzierung über Rank/ID; Rank 0 meist Master
First-Touch-Policy (NUMA)?	Physische Seite wird beim ersten Zugriff platziert → Daten vom nutzenden Thread initialisieren lassen, nicht vom Master
Fulda-Cluster Eckdaten?	13 Knoten × 64 Kerne = max. 832 MPI-Prozesse; kein Hyperthreading; alles über SLURM; OpenMP: genau 1 Knoten
OpenMP: Default-Scoping?	Alles shared — außer Schleifenvariablen und in der Region deklarierte Variablen (private)
OpenMP: private vs. firstprivate vs. lastprivate?	private: uninitialisierte Kopie; firstprivate: mit Außenwert initialisiert; lastprivate: Wert der letzten Iteration nach außen
OpenMP: Threadanzahl-Priorität?	num_threads-Klausel > omp_set_num_threads() > OMP_NUM_THREADS > Default
OpenMP: omp_get_num_threads() außerhalb paralleler Region?	1
OpenMP: schedule(static) vs. dynamic vs. guided?	static: feste gleich große Blöcke (Lokalität, deterministisch); dynamic: Blöcke zur Laufzeit (beste Balance, Overhead); guided: erst groß, dann kleiner
OpenMP: Wann static mit Chunk (zyklisch)?	Bei bekannter, strukturiert ungleicher Last (z. B. Dreiecksschleife) — gleicht aus ohne Laufzeit-Overhead
